Partlist

Exported from F030_R01.sch at 31.10.2019 12:09

EAGLE Version 9.2.1 Copyright (c) 1988-2018 Autodesk, Inc.

Assembly variant: 

Part     Value              Device                         Package            Library      Sheet
FB10                        FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       17
FB11                        FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       17
FB12                        FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       17
FB13                        FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       17
FB14                        FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       17
FB15                        FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       17
FB16                        FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       17
FB17                        FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       17
FB18                        FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       17
FB19                        FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       17
FB20                        FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       17
FB21                        FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       17
FB22                        FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       17
FB23                        FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       19
FB24                        FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       19
J1                          RJ-12_CONN                     TE_RJ12GE-AMP      F030NG       1
J2       MIDI OUT           MIDI                           MAB5SH             F030NG       1
J3       MIDI IN            MIDI                           MAB5SH             F030NG       1
J4       PARALLEL-DB25F     PARALLEL-DB25F                 DB25F              F030NG       1
J5                          KEYBOARD                       PH_KEYBOARD        F030NG       1
J6                          SIMM72-VERT                    TE_5822021-4       F030NG       4
J7       RCA_SOCKET         RCA_SOCKET                     KEYS938            F030NG       10
J8       IDE_CONN-CF        IDE_CONN-CF                    CF_IDE             F030NG       7
J9       SERIAL-DB9         SERIAL-DB9                     DB9M               F030NG       9
J10      VGA-REG            VGA-REG                        DB15F              F030NG       10
J11      MINI_DIN4P         MINI_DIN4P                     MINI_DIN4P         F030NG       10
J12      SCSI               SCSI_CONN_INTCOM               PH_2X25_COMBI      F030NG       11
J13      FDD_CONNCOM        FDD_CONNCOM                    PH_2X17_COMBI      F030NG       12
J14                         ROM_INTERFACE                  PH_ROM_PORT        F030NG       14
J15                         CPU_EXP_PORT-NG                PH_CPU_EXP_PORT-NG F030NG       15
J16      0862-1JX1-43-F     RJ45_DUAL-USB                  JY0-0016           F030NG       16
J17      DSP_PORT-DB26F     DSP_PORT-DB26F                 DB26F              F030NG       17
J18      MIC                3.5MM_SOCKET3P                 JY039-3P           F030NG       20
J19      SPKR               3.5MM_SOCKET3P                 JY039-3P           F030NG       20
J20      POWER_CONN-8P      POWER_CONN-8P                  MOLEX_09-65-2088   F030NG       22
J21      TE_171825-4        FDD_CONN_PWR                   TE_171825-4        F030NG       22
J22                         JUMPER-2P                      PH_1X02            F030NG       8
L1       1uH                L-1210                         L1210              F030NG       1
L2       1uH                L-1210                         L1210              F030NG       1
L3       1uH                L-1210                         L1210              F030NG       1
L4       1uH                L-1210                         L1210              F030NG       1
L5       NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       1
L6       NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       1
L7       NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       1
L8       NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       1
L9       NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       1
L10      NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       1
L11      NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       1
L12      NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       1
L13      NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       1
L14      NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       1
L15      NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       1
L16      NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       1
L17      NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       9
L18      NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       9
L19      NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       9
L20      NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       9
L21      NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       9
L22      NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       9
L23      NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       9
L24      NFM41CC222R2A3L    LCL1806                        NFM41C             F030NG       9
L25      1uH                L-1210                         L1210              F030NG       1
L26      1uH                L-1210                         L1210              F030NG       1
